"Fact_ID","Date_ID","Location_ID","New_Cases","New_Deaths","New_Recovered","New_Active_Cases","Total_Cases","Total_Deaths","Total_Recovered","Total_Active_Cases","New_Deaths_per_Million","Total_Deaths_per_Million","Total_Deaths_per_100rb","Case_Fatality_Rate","Case_Recovered_Rate"
"31823","64575","1","2","0","0","2","39","20","75","-56","0.0000","1.8400","0.1800","0.51","1.92"
"31824","64576","1","2","0","0","2","41","20","75","-54","0.0000","1.8400","0.1800","0.49","1.83"
"31825","64577","1","2","0","0","2","43","20","75","-52","0.0000","1.8400","0.1800","0.47","1.74"
"31826","64577","3","1","1","0","0","1","1","60","-60","0.0200","0.0200","0.0000","1.00","60.00"
"31827","64577","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31828","64578","1","2","0","0","2","45","20","75","-50","0.0000","1.8400","0.1800","0.44","1.67"
"31829","64578","3","1","0","0","1","2","1","60","-59","0.0000","0.0200","0.0000","0.50","30.00"
"31830","64578","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31831","64579","1","0","1","0","-1","45","21","75","-51","0.0900","1.9400","0.1900","0.47","1.67"
"31832","64579","3","1","0","0","1","3","1","60","-58","0.0000","0.0200","0.0000","0.33","20.00"
"31833","64579","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31834","64580","4","1","0","1","0","1","5","111","-115","0.0000","0.4700","0.0500","5.00","111.00"
"31835","64580","1","0","0","0","0","45","21","75","-51","0.0000","1.9400","0.1900","0.47","1.67"
"31836","64580","3","1","0","0","1","4","1","60","-57","0.0000","0.0200","0.0000","0.25","15.00"
"31837","64580","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31838","64581","4","0","0","0","0","1","5","111","-115","0.0000","0.4700","0.0500","5.00","111.00"
"31839","64581","1","0","2","0","-2","45","23","75","-53","0.1800","2.1200","0.2100","0.51","1.67"
"31840","64581","3","0","0","0","0","4","1","60","-57","0.0000","0.0200","0.0000","0.25","15.00"
"31841","64581","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31842","64582","4","1","0","3","-2","2","5","114","-117","0.0000","0.4700","0.0500","2.50","57.00"
"31843","64582","1","0","0","0","0","45","23","75","-53","0.0000","2.1200","0.2100","0.51","1.67"
"31844","64582","3","0","0","0","0","4","1","60","-57","0.0000","0.0200","0.0000","0.25","15.00"
"31845","64582","5","1","1","0","0","1","10","11","-20","0.0300","0.2700","0.0300","10.00","11.00"
"31846","64582","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31847","64583","4","0","0","0","0","2","5","114","-117","0.0000","0.4700","0.0500","2.50","57.00"
"31848","64583","1","0","1","0","-1","45","24","75","-54","0.0900","2.2100","0.2200","0.53","1.67"
"31849","64583","3","0","0","0","0","4","1","60","-57","0.0000","0.0200","0.0000","0.25","15.00"
"31850","64583","5","0","0","0","0","1","10","11","-20","0.0000","0.2700","0.0300","10.00","11.00"
"31851","64583","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31852","64584","4","0","0","8","-8","2","5","122","-125","0.0000","0.4700","0.0500","2.50","61.00"
"31853","64584","1","0","0","0","0","45","24","75","-54","0.0000","2.2100","0.2200","0.53","1.67"
"31854","64584","3","0","0","0","0","4","1","60","-57","0.0000","0.0200","0.0000","0.25","15.00"
"31855","64584","5","0","0","0","0","1","10","11","-20","0.0000","0.2700","0.0300","10.00","11.00"
"31856","64584","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31857","64584","6","1","0","0","1","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31858","64585","7","1","1","0","0","1","1","3","-3","0.2400","0.2400","0.0200","1.00","3.00"
"31859","64585","4","0","0","8","-8","2","5","130","-133","0.0000","0.4700","0.0500","2.50","65.00"
"31860","64585","1","0","0","0","0","45","24","75","-54","0.0000","2.2100","0.2200","0.53","1.67"
"31861","64585","3","0","1","0","-1","4","2","60","-58","0.0200","0.0400","0.0000","0.50","15.00"
"31862","64585","5","2","1","1","0","3","11","12","-20","0.0300","0.3000","0.0300","3.67","4.00"
"31863","64585","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31864","64585","6","0","0","0","0","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31865","64586","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31866","64586","4","0","1","2","-3","2","6","132","-136","0.0900","0.5600","0.0600","3.00","66.00"
"31867","64586","1","2","1","4","-3","47","25","79","-57","0.0900","2.3000","0.2300","0.53","1.68"
"31868","64586","3","1","0","0","1","5","2","60","-57","0.0000","0.0400","0.0000","0.40","12.00"
"31869","64586","5","0","0","0","0","3","11","12","-20","0.0000","0.3000","0.0300","3.67","4.00"
"31870","64586","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31871","64586","6","0","0","0","0","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31872","64587","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31873","64587","4","1","1","0","0","3","7","132","-136","0.0900","0.6500","0.0700","2.33","44.00"
"31874","64587","1","4","1","3","0","51","26","82","-57","0.0900","2.4000","0.2400","0.51","1.61"
"31875","64587","3","4","0","1","3","9","2","61","-54","0.0000","0.0400","0.0000","0.22","6.78"
"31876","64587","5","0","0","0","0","3","11","12","-20","0.0000","0.3000","0.0300","3.67","4.00"
"31877","64587","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31878","64587","6","0","0","0","0","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31879","64588","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31880","64588","4","1","0","2","-1","4","7","134","-137","0.0000","0.6500","0.0700","1.75","33.50"
"31881","64588","1","2","1","1","0","53","27","83","-57","0.0900","2.4900","0.2500","0.51","1.57"
"31882","64588","3","0","0","0","0","9","2","61","-54","0.0000","0.0400","0.0000","0.22","6.78"
"31883","64588","5","2","0","1","1","5","11","13","-19","0.0000","0.3000","0.0300","2.20","2.60"
"31884","64588","8","3","0","0","3","3","0","3","0","0.0000","0.0000","0.0000","0.00","1.00"
"31885","64588","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31886","64588","6","0","0","0","0","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31887","64589","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31888","64589","4","1","0","5","-4","5","7","139","-141","0.0000","0.6500","0.0700","1.40","27.80"
"31889","64589","3","0","0","2","-2","9","2","63","-56","0.0000","0.0400","0.0000","0.22","7.00"
"31890","64589","5","1","0","1","0","6","11","14","-19","0.0000","0.3000","0.0300","1.83","2.33"
"31891","64589","8","2","0","0","2","5","0","3","2","0.0000","0.0000","0.0000","0.00","0.60"
"31892","64589","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31893","64589","6","0","0","0","0","1","0","0","1","0.0000","0.0000","0.0000","0.00","0.00"
"31894","64590","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31895","64590","4","1","0","4","-3","6","7","143","-144","0.0000","0.6500","0.0700","1.17","23.83"
"31896","64590","1","2","3","0","-1","63","33","83","-53","0.2800","3.0400","0.3000","0.52","1.32"
"31897","64590","9","1","0","0","1","1","0","2","-1","0.0000","0.0000","0.0000","0.00","2.00"
"31898","64590","3","0","0","2","-2","9","2","65","-58","0.0000","0.0400","0.0000","0.22","7.22"
"31899","64590","5","1","0","0","1","7","11","14","-18","0.0000","0.3000","0.0300","1.57","2.00"
"31900","64590","8","1","0","0","1","6","0","3","3","0.0000","0.0000","0.0000","0.00","0.50"
"31901","64590","2","0","0","0","0","1","0","1","0","0.0000","0.0000","0.0000","0.00","1.00"
"31902","64591","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31903","64591","4","0","1","3","-4","6","8","146","-148","0.0900","0.7500","0.0700","1.33","24.33"
"31904","64591","1","2","1","0","1","65","34","83","-52","0.0900","3.1300","0.3100","0.52","1.28"
"31905","64591","9","0","0","0","0","1","0","2","-1","0.0000","0.0000","0.0000","0.00","2.00"
"31906","64591","3","11","0","0","11","20","2","65","-47","0.0000","0.0400","0.0000","0.10","3.25"
"31907","64591","5","1","0","1","0","8","11","15","-18","0.0000","0.3000","0.0300","1.38","1.88"
"31908","64591","8","1","0","0","1","7","0","3","4","0.0000","0.0000","0.0000","0.00","0.43"
"31909","64591","6","0","0","0","0","3","0","0","3","0.0000","0.0000","0.0000","0.00","0.00"
"31910","64591","10","1","1","0","0","1","1","10","-10","0.0700","0.0700","0.0100","1.00","10.00"
"31911","64592","7","0","0","0","0","1","1","3","-3","0.0000","0.2400","0.0200","1.00","3.00"
"31912","64592","4","0","1","1","-2","6","9","147","-150","0.0900","0.8400","0.0800","1.50","24.50"
"31913","64592","1","1","1","0","0","66","35","83","-52","0.0900","3.2300","0.3200","0.53","1.26"
"31914","64592","9","0","0","0","0","1","0","2","-1","0.0000","0.0000","0.0000","0.00","2.00"
"31915","64592","3","4","1","2","1","24","3","67","-46","0.0200","0.0700","0.0100","0.13","2.79"
